"SUL 2-15Italy, Sulmona","Hea,ng ,me: 60 s","J=0.0007882± 0.00000060488
Irradia,on : 423PRA",,,,,,,,,,,,,,
,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,1σ,% 40Ar*,Age,± 1σ
Run-ID,Moles,(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),,,,ka,ka
36749-01,"1,09E-14","5,494E-01","1,085E-03","6,948E-01","5,071E-04","8,494E-03","5,280E-05","9,655E-03","5,580E-05","5,617E-04","1,490E-05","1,01139","0,0010","69,6","781,6","9,6"
36749-02,"6,39E-15","3,235E-01","1,146E-03","5,348E-01","5,071E-04","6,417E-03","5,000E-05","6,216E-03","4,610E-05","1,005E-04","1,350E-05","1,01139","0,0010","90,9","780,6","11,2"
36749-03,"9,02E-15","4,567E-01","1,137E-03","7,688E-01","5,538E-04","9,151E-03","5,850E-05","7,524E-03","5,590E-05","1,281E-04","1,280E-05","1,01139","0,0010","91,7","774,0","7,5"
36749-04,"6,76E-15","3,423E-01","1,101E-03","5,487E-01","4,978E-04","6,705E-03","5,280E-05","1,106E-02","6,810E-05","1,285E-04","1,320E-05","1,01139","0,0010","89,0","788,7","10,7"
36749-05,"6,46E-15","3,268E-01","1,379E-03","5,271E-01","5,350E-04","6,498E-03","5,380E-05","6,030E-03","5,010E-05","1,245E-04","1,290E-05","1,01139","0,0010","88,8","781,3","11,2"
36749-06,"2,34E-15","1,185E-01","1,118E-03","1,957E-01","2,908E-04","2,350E-03","3,110E-05","3,312E-03","3,880E-05","2,750E-05","1,200E-05","1,01139","0,0010","93,3","801,8","27,5"
36749-07,"1,20E-14","6,092E-01","1,193E-03","8,748E-01","6,870E-04","1,071E-02","6,820E-05","1,373E-02","6,640E-05","2,448E-04","1,380E-05","1,01139","0,0010","88,2","872,0","7,2"
36749-08,"6,99E-15","3,540E-01","1,156E-03","5,750E-01","6,200E-04","7,063E-03","5,850E-05","7,387E-03","5,230E-05","1,406E-04","1,320E-05","1,01139","0,0010","88,3","771,9","10,3"
36749-09,"7,45E-15","3,773E-01","1,146E-03","6,185E-01","5,350E-04","7,484E-03","5,190E-05","7,544E-03","5,040E-05","1,267E-04","1,310E-05","1,01139","0,0010","90,1","780,6","9,5"
36749-10,"8,39E-15","4,245E-01","1,137E-03","7,180E-01","5,821E-04","8,620E-03","4,810E-05","6,490E-03","4,850E-05","1,124E-04","1,300E-05","1,01139","0,0010","92,2","774,0","8,1"
36749-11,"7,85E-15","3,971E-01","1,187E-03","6,540E-01","5,164E-04","7,897E-03","5,760E-05","8,299E-03","5,250E-05","1,384E-04","1,320E-05","1,01139","0,0010","89,7","773,8","9,1"
36749-12,"8,47E-15","4,286E-01","1,177E-03","7,292E-01","5,821E-04","8,624E-03","6,140E-05","8,998E-03","5,650E-05","1,072E-04","1,370E-05","1,01139","0,0010","92,7","773,5","8,4"
36749-13,"9,05E-15","4,579E-01","1,141E-03","7,443E-01","5,350E-04","8,847E-03","5,850E-05","1,099E-02","6,890E-05","1,647E-04","1,350E-05","1,01139","0,0010","89,4","781,3","8,1"
36749-14,"7,25E-15","3,670E-01","1,151E-03","5,999E-01","5,257E-04","7,319E-03","5,470E-05","7,385E-03","5,660E-05","1,344E-04","1,310E-05","1,01139","0,0010","89,2","775,0","9,8"
36749-15,"1,17E-14","5,902E-01","1,118E-03","9,922E-01","7,739E-04","1,173E-02","6,720E-05","9,521E-03","6,690E-05","1,628E-04","1,370E-05","1,01139","0,0010","91,9","776,1","6,2"
36749-16,"4,80E-15","2,432E-01","1,105E-03","3,901E-01","4,794E-04","4,737E-03","4,530E-05","3,594E-03","4,110E-05","1,114E-04","1,290E-05","1,01139","0,0010","86,4","764,9","14,7"
36749-17,"7,20E-15","3,642E-01","1,123E-03","5,628E-01","5,164E-04","6,631E-03","3,020E-05","7,785E-03","5,080E-05","1,949E-04","1,360E-05","1,01139","0,0010","84,2","773,6","10,8"
36749-18,"7,51E-15","3,799E-01","1,151E-03","5,718E-01","5,632E-04","7,089E-03","5,190E-05","6,401E-03","4,890E-05","2,355E-04","1,360E-05","1,01139","0,0010","81,6","769,9","10,6"
36749-19,"4,78E-15","2,420E-01","1,182E-03","3,866E-01","4,430E-04","4,580E-03","2,940E-05","4,634E-03","4,910E-05","1,013E-04","1,310E-05","1,01139","0,0010","87,6","778,9","15,1"
36749-20,"3,96E-15","2,006E-01","1,232E-03","3,548E-01","4,794E-04","4,196E-03","3,540E-05","5,137E-03","4,520E-05","2,300E-05","1,260E-05","1,01139","0,0010","96,8","777,0","16,0"
36749-21,"7,18E-15","3,635E-01","1,132E-03","5,818E-01","5,257E-04","6,999E-03","5,090E-05","7,169E-03","5,110E-05","1,511E-04","1,300E-05","1,01139","0,0010","87,7","778,3","10,0"
36749-22,"5,41E-15","2,739E-01","1,073E-03","4,868E-01","4,794E-04","5,840E-03","5,190E-05","5,168E-03","4,720E-05","2,730E-05","1,260E-05","1,01139","0,0010","97,2","776,3","11,5"
36749-23,"2,02E-14","1,023E+00","1,562E-03","1,666E+00","1,018E-03","2,003E-02","8,180E-05","1,985E-02","9,520E-05","3,682E-04","1,410E-05","1,01139","0,0010","89,4","779,3","4,1"
36749-24,"5,59E-15","2,831E-01","1,161E-03","4,409E-01","4,794E-04","5,369E-03","4,350E-05","5,889E-03","4,730E-05","1,465E-04","1,300E-05","1,01139","0,0010","84,7","772,4","13,2"
36749-25,"9,80E-15","4,960E-01","1,156E-03","8,059E-01","6,582E-04","9,685E-03","5,570E-05","9,423E-03","6,000E-05","1,939E-04","1,290E-05","1,01139","0,0010","88,5","773,1","7,2"
36749-26,"5,21E-15","2,637E-01","1,118E-03","4,432E-01","4,702E-04","5,280E-03","4,620E-05","5,160E-03","4,350E-05","5,780E-05","1,300E-05","1,01139","0,0010","93,6","790,8","13,1"
36749-27,"7,63E-15","3,862E-01","1,132E-03","6,534E-01","5,350E-04","7,697E-03","5,570E-05","5,837E-03","4,960E-05","9,640E-05","1,260E-05","1,01139","0,0010","92,7","777,7","8,7"
36749-28,"5,82E-15","2,944E-01","1,127E-03","4,777E-01","4,794E-04","5,696E-03","5,280E-05","5,649E-03","4,560E-05","1,280E-04","1,310E-05","1,01139","0,0010","87,2","762,7","12,3"
36749-29,"8,32E-15","4,213E-01","1,141E-03","6,674E-01","5,257E-04","7,930E-03","5,380E-05","8,853E-03","5,390E-05","1,618E-04","1,280E-05","1,01139","0,0010","88,7","794,9","8,6"
36749-30,"9,04E-15","4,576E-01","1,146E-03","6,510E-01","5,538E-04","7,944E-03","6,040E-05","7,746E-03","5,390E-05","3,615E-04","1,360E-05","1,01139","0,0010","76,5","763,9","9,4"
36749-31,"1,24E-14","6,274E-01","1,379E-03","9,087E-01","9,691E-04","1,106E-02","6,620E-05","9,299E-03","5,630E-05","4,441E-04","1,410E-05","1,01139","0,0010","79,0","774,2","7,2"
36749-32,"5,38E-15","2,723E-01","1,141E-03","3,881E-01","4,340E-04","4,820E-03","4,900E-05","1,251E-02","7,600E-05","2,092E-04","1,340E-05","1,01139","0,0010","77,4","771,5","15,4"
36749-33,"1,36E-14","6,867E-01","1,226E-03","7,133E-01","6,582E-04","8,763E-03","5,660E-05","4,966E-03","4,400E-05","9,916E-04","1,560E-05","1,01139","0,0010","56,9","778,3","10,2"
36749-34,"6,33E-15","3,201E-01","7,734E-04","5,407E-01","5,671E-04","6,408E-03","3,510E-05","6,391E-03","5,380E-05","7,440E-05","1,290E-05","1,01176","0,0011","93,2","783,5","10,5"
36749-35,"7,71E-15","3,903E-01","7,582E-04","6,315E-01","6,462E-04","7,618E-03","4,950E-05","6,295E-03","4,680E-05","1,563E-04","1,320E-05","1,01176","0,0011","88,2","773,6","9,2"
36749-36,"6,25E-15","3,163E-01","7,433E-04","5,261E-01","5,079E-04","6,204E-03","3,610E-05","4,550E-03","3,990E-05","9,250E-05","1,300E-05","1,01176","0,0011","91,4","779,9","10,8"
36749-37,"6,60E-15","3,341E-01","7,214E-04","5,395E-01","5,967E-04","6,470E-03","4,850E-05","5,182E-03","4,450E-05","1,166E-04","1,340E-05","1,01176","0,0011","89,7","788,7","10,8"
36749-38,"5,69E-15","2,880E-01","7,142E-04","4,692E-01","5,177E-04","5,701E-03","4,950E-05","5,468E-03","4,710E-05","1,030E-04","1,260E-05","1,01176","0,0011","89,5","779,9","11,7"
36749-39,"3,70E-15","1,871E-01","6,466E-04","3,061E-01","4,587E-04","3,624E-03","2,420E-05","3,459E-03","3,570E-05","4,450E-05","1,270E-05","1,01176","0,0011","93,0","807,5","17,9"
36749-40,"3,46E-15","1,748E-01","6,660E-04","2,783E-01","4,391E-04","3,286E-03","2,860E-05","2,771E-03","3,570E-05","9,550E-05","1,240E-05","1,01176","0,0011","83,8","747,3","19,3"
36749-41,"5,94E-15","3,002E-01","7,286E-04","5,130E-01","5,473E-04","6,223E-03","3,980E-05","4,841E-03","4,490E-05","7,420E-05","1,300E-05","1,01176","0,0011","92,7","770,6","11,0"
36749-42,"5,04E-15","2,550E-01","7,433E-04","4,169E-01","5,177E-04","5,024E-03","4,850E-05","3,833E-03","4,030E-05","7,520E-05","1,280E-05","1,01176","0,0011","91,3","793,2","13,4"
36749-43,"4,80E-15","2,428E-01","7,071E-04","4,022E-01","5,473E-04","5,013E-03","4,370E-05","3,898E-03","4,490E-05","7,780E-05","1,310E-05","1,01176","0,0011","90,5","776,2","14,1"
36749-44,"5,81E-15","2,941E-01","7,507E-04","4,921E-01","5,868E-04","5,962E-03","4,460E-05","5,744E-03","4,980E-05","9,120E-05","1,290E-05","1,01176","0,0011","90,9","771,2","11,4"
36749-45,"5,09E-15","2,577E-01","7,582E-04","4,147E-01","5,276E-04","4,804E-03","3,140E-05","3,908E-03","4,500E-05","9,900E-05","1,270E-05","1,01176","0,0011","88,6","782,1","13,4"
36749-46,"5,47E-15","2,769E-01","7,507E-04","4,701E-01","5,177E-04","5,709E-03","5,240E-05","5,674E-03","4,740E-05","8,450E-05","1,260E-05","1,01176","0,0011","91,0","761,5","11,7"
36749-47,"3,38E-15","1,708E-01","6,862E-04","2,887E-01","4,293E-04","3,550E-03","3,980E-05","2,791E-03","3,600E-05","3,340E-05","1,220E-05","1,01176","0,0011","94,3","791,8","18,4"
36749-48,"4,54E-15","2,299E-01","6,862E-04","3,770E-01","5,079E-04","4,389E-03","3,980E-05","4,584E-03","4,050E-05","8,220E-05","1,270E-05","1,01176","0,0011","89,5","774,5","14,7"
36749-49,"1,02E-14","5,175E-01","8,360E-04","8,604E-01","7,753E-04","1,018E-02","5,240E-05","1,131E-02","6,710E-05","1,547E-04","1,360E-05","1,01176","0,0011","91,2","779,2","7,0"
36749-50,"8,62E-15","4,361E-01","8,360E-04","7,126E-01","6,661E-04","8,613E-03","5,820E-05","1,667E-02","9,010E-05","1,637E-04","1,330E-05","1,01176","0,0011","89,1","774,1","8,2"
36749-51,"7,20E-15","3,642E-01","7,887E-04","5,850E-01","6,264E-04","6,971E-03","4,950E-05","5,257E-03","4,540E-05","1,753E-04","1,290E-05","1,01176","0,0011","85,7","758,0","9,7"
36749-52,"6,78E-15","3,430E-01","7,359E-04","5,596E-01","5,177E-04","6,615E-03","5,240E-05","6,195E-03","5,510E-05","1,320E-04","1,330E-05","1,01176","0,0011","88,6","771,5","10,3"
36749-53,"6,77E-15","3,427E-01","6,931E-04","5,689E-01","6,264E-04","6,974E-03","5,040E-05","6,703E-03","5,520E-05","9,800E-05","1,270E-05","1,01176","0,0011","91,6","783,5","9,8"
D1 Mass discrimination per AMU based on power law,,,,,,,,,,,,,,,,
Red: analyses not used for the combined weighted mean age calculation,,,,,,,,,,,,,,,,

"SUL 2-22Italy, Sulmona","Hea,ng ,me: 60 s","J=0,0007892± 0.0000006260
Irradia,on : 423PRA",,,,,,,,,,,,,,
,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,1σ,% 40Ar*,Age,± 1σ
Run-ID,Moles,(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),,,,ka,ka
36755-01,"1,39E-14","4,361E-01","1,187E-03","7,039E-01","5,632E-04","8,396E-03","5,760E-05","9,316E-03","5,700E-05","1,518E-04","1,300E-05","1,0114","0,0010","89,8","791,3","8,3"
36755-02,"1,02E-14","3,789E-01","1,182E-03","5,150E-01","5,915E-04","6,173E-03","4,810E-05","4,121E-03","3,900E-05","2,559E-04","1,410E-05","1,0114","0,0010","79,9","836,5","12,3"
36755-03,"1,32E-14","4,149E-01","1,166E-03","6,671E-01","5,538E-04","7,816E-03","5,280E-05","7,833E-03","4,970E-05","1,557E-04","1,360E-05","1,0114","0,0010","88,9","786,9","9,1"
36755-04,"1,88E-14","5,761E-01","1,166E-03","9,535E-01","7,062E-04","1,139E-02","6,530E-05","1,397E-02","6,660E-05","1,587E-04","1,370E-05","1,0114","0,0010","92,0","790,4","6,5"
36755-05,"9,16E-15","2,917E-01","1,146E-03","4,635E-01","5,164E-04","5,541E-03","4,530E-05","5,186E-03","4,270E-05","1,259E-04","1,370E-05","1,0114","0,0010","87,2","781,2","13,1"
36755-06,"1,15E-14","3,363E-01","1,127E-03","5,801E-01","5,726E-04","7,057E-03","4,810E-05","1,238E-02","6,290E-05","3,390E-05","1,340E-05","1,0114","0,0010","97,3","802,2","10,3"
36755-07,"1,32E-14","4,114E-01","1,132E-03","6,683E-01","5,538E-04","8,214E-03","5,280E-05","4,444E-03","3,930E-05","1,588E-04","1,360E-05","1,0114","0,0010","88,5","775,4","9,1"
36755-08,"1,37E-14","4,160E-01","1,156E-03","6,916E-01","6,391E-04","8,424E-03","5,380E-05","1,238E-02","7,260E-05","1,077E-04","1,310E-05","1,0114","0,0010","92,5","791,4","8,5"
36755-09,"8,77E-15","2,846E-01","1,414E-03","4,436E-01","5,915E-04","5,284E-03","5,090E-05","1,116E-02","7,080E-05","1,321E-04","1,310E-05","1,0114","0,0010","86,4","789,0","13,5"
36755-10,"8,99E-15","3,071E-01","1,156E-03","4,550E-01","5,257E-04","5,505E-03","4,530E-05","1,075E-02","6,130E-05","1,758E-04","1,320E-05","1,0114","0,0010","83,2","798,9","13,0"
36755-11,"1,93E-14","6,110E-01","1,151E-03","9,775E-01","9,299E-04","1,193E-02","5,950E-05","1,248E-02","7,090E-05","2,358E-04","1,400E-05","1,0114","0,0010","88,6","788,0","6,5"
36755-12,"1,65E-14","5,518E-01","1,386E-03","8,360E-01","8,225E-04","9,943E-03","6,430E-05","1,518E-02","8,840E-05","1,672E-04","1,290E-05","1,0114","0,0010","91,2","856,1","7,1"
36755-13,"9,98E-15","3,799E-01","1,114E-03","5,050E-01","4,978E-04","6,088E-03","4,810E-05","6,311E-03","5,040E-05","3,338E-04","1,390E-05","1,0114","0,0010","73,9","790,6","12,4"
36755-14,"8,37E-15","2,568E-01","1,151E-03","4,232E-01","5,350E-04","5,166E-03","4,440E-05","5,405E-03","4,140E-05","7,880E-05","1,300E-05","1,0114","0,0010","91,0","785,6","13,8"
36755-15,"1,17E-14","3,858E-01","1,141E-03","5,936E-01","6,582E-04","7,097E-03","5,280E-05","1,168E-02","6,180E-05","1,906E-04","1,370E-05","1,0114","0,0010","85,5","790,4","10,3"
36755-16,"1,21E-14","2,006E+00","1,972E-03","6,129E-01","5,726E-04","8,489E-03","5,850E-05","1,205E-02","6,760E-05","5,516E-03","2,600E-05","1,0114","0,0010","17,9","836,4","24,6"
36755-17,"1,03E-14","3,305E-01","1,156E-03","5,224E-01","4,886E-04","6,143E-03","2,940E-05","6,456E-03","4,230E-05","1,453E-04","1,280E-05","1,0114","0,0010","87,0","783,3","11,0"
36755-18,"1,10E-14","3,456E-01","1,151E-03","5,571E-01","4,794E-04","6,768E-03","5,380E-05","1,196E-02","6,520E-05","1,325E-04","1,310E-05","1,0114","0,0010","88,8","783,9","10,6"
36755-19,"7,01E-15","2,341E-01","1,097E-03","3,545E-01","4,160E-04","4,180E-03","3,800E-05","8,113E-03","5,550E-05","1,430E-04","1,300E-05","1,0114","0,0010","82,0","770,7","16,3"
36755-20,"6,60E-15","2,164E-01","1,109E-03","3,338E-01","4,250E-04","4,032E-03","3,980E-05","3,823E-03","3,730E-05","1,118E-04","1,270E-05","1,0114","0,0010","84,7","781,3","17,1"
36755-21,"1,57E-14","4,905E-01","1,182E-03","7,960E-01","5,726E-04","9,582E-03","5,190E-05","2,914E-02","1,119E-04","1,828E-04","1,400E-05","1,0114","0,0010","89,3","783,1","7,9"
36755-22,"4,88E-15","1,479E-01","1,081E-03","2,471E-01","3,062E-04","2,930E-03","2,780E-05","4,361E-03","4,820E-05","1,180E-05","1,260E-05","1,0114","0,0010","97,9","833,5","22,7"
36755-23,"9,69E-15","3,105E-01","1,414E-03","4,904E-01","5,350E-04","5,887E-03","4,350E-05","6,166E-03","4,830E-05","1,505E-04","1,350E-05","1,0114","0,0010","85,7","771,8","12,5"
36755-24,"6,80E-15","2,241E-01","1,118E-03","3,443E-01","4,520E-04","4,087E-03","4,530E-05","3,784E-03","3,920E-05","1,162E-04","1,300E-05","1,0114","0,0010","84,6","783,8","16,9"
36755-25,"7,42E-15","2,463E-01","1,132E-03","3,757E-01","4,339E-04","4,482E-03","4,160E-05","5,834E-03","4,460E-05","1,238E-04","1,360E-05","1,0114","0,0010","85,2","794,4","16,1"
36755-26,"1,33E-14","4,258E-01","1,171E-03","6,727E-01","5,726E-04","8,129E-03","5,760E-05","7,194E-03","5,030E-05","1,614E-04","1,350E-05","1,0114","0,0010","88,8","799,7","9,0"
36755-27,"1,52E-14","4,624E-01","1,161E-03","7,676E-01","5,820E-04","9,229E-03","6,040E-05","8,855E-03","4,850E-05","7,610E-05","1,350E-05","1,0114","0,0010","95,2","816,1","7,9"
36755-28,"1,41E-14","4,290E-01","1,146E-03","7,157E-01","6,200E-04","8,687E-03","6,140E-05","7,942E-03","6,210E-05","1,066E-04","1,320E-05","1,0114","0,0010","92,7","790,7","8,3"
36755-29,"1,41E-14","4,348E-01","1,156E-03","7,129E-01","6,105E-04","8,446E-03","5,950E-05","8,804E-03","5,820E-05","1,299E-04","1,320E-05","1,0114","0,0010","91,2","791,7","8,3"
36755-30,"1,29E-14","3,992E-01","1,118E-03","6,512E-01","6,200E-04","7,912E-03","5,190E-05","6,955E-03","5,050E-05","1,215E-04","1,270E-05","1,0114","0,0010","91,0","794,0","8,8"
36755-31,"1,32E-14","4,187E-01","1,187E-03","6,667E-01","6,391E-04","7,941E-03","5,190E-05","1,173E-02","5,830E-05","1,610E-04","1,320E-05","1,0114","0,0010","88,7","792,8","8,9"
36755-32,"9,54E-15","3,034E-01","1,127E-03","4,828E-01","4,520E-04","5,700E-03","5,000E-05","6,603E-03","6,050E-05","1,236E-04","1,310E-05","1,0114","0,0010","88,0","786,6","12,2"
36755-33,"6,78E-15","2,936E-01","1,123E-03","3,433E-01","4,072E-04","4,279E-03","4,350E-05","6,877E-03","4,700E-05","3,422E-04","1,370E-05","1,0114","0,0010","65,4","795,5","17,8"
36755-34,"7,04E-15","2,191E-01","7,001E-04","3,562E-01","5,473E-04","4,201E-03","2,680E-05","6,935E-03","4,800E-05","8,560E-05","1,230E-05","1,0118","0,0011","88,6","774,9","15,0"
36755-35,"1,10E-14","3,457E-01","7,142E-04","5,578E-01","5,868E-04","6,638E-03","6,020E-05","1,106E-02","6,770E-05","1,301E-04","1,290E-05","1,0118","0,0011","89,0","784,7","10,2"
36755-36,"1,31E-14","4,071E-01","7,810E-04","6,627E-01","5,374E-04","7,958E-03","5,730E-05","1,205E-02","7,540E-05","1,225E-04","1,310E-05","1,0118","0,0011","91,2","797,4","8,7"
36755-37,"1,17E-14","3,514E-01","7,071E-04","5,903E-01","5,770E-04","7,188E-03","5,240E-05","6,269E-03","4,570E-05","8,090E-05","1,320E-05","1,0118","0,0011","93,3","789,8","9,8"
36755-38,"9,92E-15","3,049E-01","6,931E-04","5,016E-01","5,572E-04","5,888E-03","3,420E-05","6,033E-03","5,300E-05","7,690E-05","1,290E-05","1,0118","0,0011","92,6","800,8","11,2"
36755-39,"9,13E-15","2,915E-01","1,118E-03","4,619E-01","6,363E-04","5,562E-03","4,750E-05","5,426E-03","5,070E-05","1,103E-04","1,270E-05","1,0118","0,0011","88,8","797,5","12,3"
36755-40,"1,13E-14","3,491E-01","7,142E-04","5,693E-01","6,462E-04","6,916E-03","5,040E-05","6,616E-03","4,590E-05","1,185E-04","1,270E-05","1,0118","0,0011","90,0","785,0","9,8"
36755-41,"7,20E-15","2,327E-01","1,074E-03","3,640E-01","5,770E-04","4,444E-03","4,180E-05","4,104E-03","4,590E-05","9,680E-05","1,290E-05","1,0118","0,0011","87,7","797,7","15,8"
36755-42,"7,88E-15","2,446E-01","7,286E-04","3,987E-01","4,882E-04","4,759E-03","4,270E-05","4,428E-03","4,610E-05","8,660E-05","1,300E-05","1,0118","0,0011","89,6","781,6","14,2"
36755-43,"1,13E-14","3,536E-01","7,433E-04","5,740E-01","6,363E-04","6,948E-03","5,630E-05","8,020E-03","5,350E-05","1,153E-04","1,330E-05","1,0118","0,0011","90,4","792,5","10,1"
36755-44,"1,14E-14","3,561E-01","8,684E-04","5,769E-01","5,572E-04","6,907E-03","5,920E-05","6,904E-03","5,350E-05","1,329E-04","1,270E-05","1,0118","0,0011","89,0","781,5","9,8"
36755-45,"9,90E-15","3,166E-01","7,359E-04","5,012E-01","4,489E-04","5,905E-03","3,140E-05","1,028E-02","6,360E-05","1,374E-04","1,260E-05","1,0118","0,0011","87,3","784,5","11,0"
36755-46,"1,23E-14","3,873E-01","7,582E-04","6,241E-01","6,066E-04","7,438E-03","5,820E-05","6,612E-03","6,110E-05","1,379E-04","1,310E-05","1,0118","0,0011","89,5","790,2","9,2"
36755-47,"1,12E-14","3,452E-01","7,658E-04","5,691E-01","6,562E-04","6,850E-03","5,240E-05","7,399E-03","6,620E-05","6,840E-05","1,290E-05","1,0118","0,0011","94,2","813,3","10,0"
36755-48,"7,06E-15","2,258E-01","8,440E-04","3,573E-01","4,587E-04","4,297E-03","4,460E-05","4,080E-03","4,640E-05","9,460E-05","1,250E-05","1,0118","0,0011","87,6","787,8","15,4"
36755-49,"1,55E-14","5,640E-01","7,001E-04","7,842E-01","7,653E-04","9,579E-03","5,340E-05","1,420E-02","7,400E-05","3,964E-04","1,410E-05","1,0118","0,0011","79,2","810,4","8,0"
36755-50,"1,49E-14","4,670E-01","7,887E-04","7,554E-01","7,554E-04","9,164E-03","5,530E-05","1,341E-02","6,900E-05","1,724E-04","1,330E-05","1,0118","0,0011","89,2","784,5","7,8"
36755-51,"1,33E-14","4,167E-01","8,360E-04","6,707E-01","7,058E-04","8,159E-03","4,850E-05","7,562E-03","5,890E-05","1,549E-04","1,290E-05","1,0118","0,0011","89,0","786,8","8,5"
36755-52,"9,58E-15","3,243E-01","7,433E-04","4,848E-01","5,671E-04","5,730E-03","4,750E-05","4,800E-03","4,170E-05","1,850E-04","1,350E-05","1,0118","0,0011","83,1","790,5","12,2"
36755-53,"1,02E-14","4,156E-01","7,810E-04","5,157E-01","4,980E-04","6,332E-03","4,660E-05","8,479E-03","5,650E-05","4,360E-04","1,410E-05","1,0118","0,0011","68,8","789,4","12,1"
D1 Mass discrimination per AMU based on power law,,,,,,,,,,,,,,,,
Red: analyses not used for the comnined weighted mean age calculation,,,,,,,,,,,,,,,,

"Interfering Isotope produc,on ra,os",,Standard,ACs-2
(40Ar/39Ar)k,8.439 E-04 ± 25 %,Age,1.193 ± 0.02 Ma
(36Ar/37Ar)Ca,4.034 E-04 ± 5.96%,Reactor,"TRIGA, Oregon State (USA)"
(39Ar/37Ar)Ca,5.288 E-04 ± 25 %,,
(38Ar/37Ar)Ca,1.447 E-04 ± 26 %,,
Interfering isotope production ratios,,,
(40Ar/39Ar)K,(7.30±0.92)E-04,,
(38Ar/39Ar)K,(1.22±0.00)E-02,,
(37Ar/39Ar)K,(2.24±0.16)E-04,,
(39Ar/37Ar)Ca,(6.95±0.09)E-04,,
(38Ar/37Ar)Ca,(1.96±0.08)E-05,,
(36Ar/37Ar)Ca,(2.65±0.02)E-04,,
(36Cl/38Cl) Cl,263±2,,
Decay constants,,,
40K λε,(5.81±0.00)E-11 a-1,,
40K λβ,(4.962±0.000)E-10 a-1,,
39Ar,(2.58±0.03)E-03 a-1,,
37Ar,(5.4300±0.0063)E-02 a-1,,
36Cl λβ,(2.35±0.02)E-06 a-1,,
